υπερλήμμα	λήμμα	CEF level	Συχνότητα (Frequency)	τύπος λέξης
	έκρηξη	B1	1977	ουσ.	
	κινητοποίηση	B1	1975	ουσ.	
	λήξη	B1	1975	ουσ.	
	πύργος	B1	1975	ουσ.	
	στρατόπεδο	B1	1975	ουσ.	
	απελευθερώνω	B1	1974	ρ.	
	κάτοχος	B1	1974	ουσ.	
	χαμογελάω, χαμογελώ	B1	1974	ρ.	
	άγαλμα	B1	1972	ουσ.	
	άρνηση	B1	1971	ουσ.	
	κρίμα	B1	1970	ουσ.	
	διώχνω	B1	1969	ρ.	
	καρδιακός	B1	1968	επίθ.	
	κατανομή	B1	1967	ουσ.	
	ορεινός	B1	1967	επίθ.	
	προγραμματίζω	B1	1967	ρ.	
	άρωμα	B1	1966	ουσ.	
	ψήσιμο	B1	1966	ουσ.	
	Ευρωπαίος	B1	1965	κ.ό.
	καταγραφή	B1	1964	ουσ.	
	άνοδος	B1	1962	ουσ.	
	φιλία	B1	1960	ουσ., επίθ.
	κατευθύνω	B1	1958	ρ.	
	συνδρομή	B1	1958	ουσ.	
	συσκευασία	B1	1958	ουσ.	
	παραγγελία	B1	1957	ουσ.	
	προβληματισμός	B1	1957	ουσ.	
	πάσο	B1	1956	ουσ.	
	συμβόλαιο	B1	1956	ουσ.	
	ασφάλιση	B1	1955	ουσ.	
	ελεύθερα	B1	1954	επίρρ., επίθ., ουσ.
	γυαλί	B1	1953	ουσ.	
	οργανικός	B1	1953	επίθ.	
	όρεξη	B1	1953	ουσ.	
	διάσημος	B1	1952	επίθ.	
	ημερήσιος	B1	1949	επίθ.	
	άχρηστος	B1	1947	επίθ.	
	υπόσχεση	B1	1947	ουσ.	
	κοστίζω	B1	1944	ρ.	
	διατάζω	B1	1943	ρ.	
	αίτιο	B1	1942	ουσ., επίθ.
	θίγω	B1	1942	ρ.	
	επικεφαλής	B1	1939	επίθ., επίρρ., ουσ.
	πέρυσι	B1	1936	επίρρ.	
	καριέρα	B1	1935	ουσ.	
	ερωτώ	B1	1933	βοηθ. ρ.
	διασκέδαση	B1	1932	ουσ.	
	πάσχω	B1	1931	ρ.	
	αναπηρία	B1	1928	ουσ.	
	λόφος	B1	1922	ουσ.	
	προσβολή	B1	1922	ουσ.	
	χαρακτηριστικά	B1	1922	επίρρ., επίθ.
	αναρχικός	B1	1919	επίθ., ουσ.
	μακροχρόνιος	B1	1919	επίθ.	
	διαχειριστής	B1	1917	ουσ.	
	έκτακτος	B1	1916	επίθ.	
	όμορφα	B1	1916	επίρρ., επίθ., επιφ.
	τέρμα	B1	1916	ουσ.	
	ορχήστρα	B1	1915	ουσ.	
	βοηθός	B1	1913	ουσ., επίθ.
	ποινικός	B1	1913	επίθ.	
	σπήλαιο	B1	1912	ουσ.	
	κόλαση	B1	1911	ουσ.	
	φάσμα	B1	1909	ουσ.	
	μοντέρνος	B1	1908	επίθ.	
	οργή	B1	1907	ουσ.	
	ντόπιος	B1	1906	επίθ.	
	τυπικό	B1	1904	ουσ.	
	επιμέλεια	B1	1904	ουσ.	
	έσοδο	B1	1904	ουσ.	
	συνθέτης	B1	1901	ουσ.	
	συναλλαγή	B1	1900	ουσ.	
	συστήνω	B1	1899	ρ.	
	τρομερός	B1	1899	επίθ.	
	επανάληψη	B1	1895	ουσ.	
	αποζημίωση	B1	1894	ουσ.	
	αλλοδαπός	B1	1891	επίθ., ουσ.
	ορός	B1	1890	ουσ.	
	χρησιμοποιήσιμος	B1	1890	επίθ.	
	έρημος	B1	1888	ουσ., επίθ.
	μαλακός	B1	1887	επίθ.	
	θέαμα	B1	1886	ουσ.	
	ορατός	B1	1886	επίθ.	
	άσχετα	B1	1885	επίρρ., επίθ.
	αποφασισμένος	B1	1881	επίθ., μτχ.
	γεωργικός	B1	1881	επίθ.	
	σύνθετος	B1	1881	επίθ.	
	διευκολύνω	B1	1879	ρ.	
	εξαγωγή	B1	1879	ουσ.	
	προβαίνω	B1	1878	ρ.	
	τυρί	B1	1877	ουσ.	
	αφιέρωμα	B1	1875	ουσ.	
	καταγγελία	B1	1875	ουσ.	
	εισέρχομαι	B1	1874	ρ.	
	εκδότης	B1	1874	ουσ.	
	κατηγορηματικός	B1	1872	επίθ.	
	νευρικός	B1	1872	επίθ.	
	πατάτα	B1	1872	ουσ.	
	πλένω	B1	1872	ρ.	
	πτυχή	B1	1868	ουσ.	
	κρύο	B1	1866	ουσ., επίθ.
	Σεπτέμβριος	B1	1866	ουσ., επίθ.
	καράβι	B1	1865	ουσ.	
	χωράω, χωρώ	B1	1865	ρ.	
	αντοχή	B1	1864	ουσ.	
	απόκτηση	B1	1862	ουσ.	
	αναλογία	B1	1860	ουσ.	
	εμπιστεύομαι	B1	1860	ρ.	
	αρχιτέκτονας	B1	1858	κ.ό.
	θαυμάζω	B1	1857	ρ.	
	θαυμάσιος	B1	1856	επίθ.	
	κόντρα	B1	1856	ουσ.	
	μακρινός	B1	1856	επίθ.	
	κατορθώνω	B1	1849	ρ.	
	ενδεχομένως	B1	1848	επίρρ.	
	προσδιορισμός	B1	1847	ουσ.	
	ήπιος	B1	1846	επίθ.	
	λογοτεχνικός	B1	1846	επίθ.	
	εντούτοις	B1	1845	επίρρ., σύνδ.
	ιταλικός	B1	1845	επίθ.	
	προμήθεια	B1	1845	ουσ.	
	σκέπτομαι	B1	1844	ρ.	
	κυλάω, κυλώ	B1	1842	ρ.	
	αθώος	B1	1838	επίθ.	
	θάβω	B1	1838	ρ.	
	ταλέντο	B1	1838	ουσ.	
	πανέμορφος	B1	1837	επίθ.	
	τρέχων	B1	1837	επίθ., μτχ., ουσ.
	διάβολος	B1	1834	ουσ., επίθ.
	νομικά	B1	1833	επίρρ., επίθ.
	ενεργώ	B1	1833	ρ.	
	Ήπειρος	B1	1833	κ.ό.	
	αεροσκάφος	B1	1831	ουσ.	
	μεσαίος	B1	1831	επίθ.	
	απεργία	B1	1828	ουσ.	
	συντελεστής	B1	1828	ουσ.	
	φανταστικός	B1	1825	επίθ.	
	τρομάζω	B1	1824	ρ.	
	ιστορικά	B1	1822	επίρρ., ουσ.
	πρόγονος	B1	1822	ουσ.	
	βιάζω	B1	1821	ρ.	
	διαρκώς	B1	1820	επίρρ.	
	μέταλλο	B1	1818	ουσ.	
	φεγγάρι	B1	1817	ουσ.	
	άνεση	B1	1816	ουσ.	
	λανθασμένος	B1	1816	επίθ., μτχ.
	απαραίτητα	B1	1813	επίρρ., επίθ.
	ανεξαρτησία	B1	1810	ουσ.	
	κουμπί	B1	1810	ουσ.	
	ακουμπώ, ακουμπάω	B1	1809	ρ.	
	ακριβής	B1	1809	επίθ.	
	ποδοσφαιριστής	B1	1807	ουσ.	
	κατασκευαστής	B1	1806	ουσ.	
	εργασιακός	B1	1805	επίθ.	
	λαχανικό	B1	1804	ουσ.	
	παιδαγωγικός	B1	1804	επίθ.	
	τείνω	B1	1804	ρ.	
	θεραπεύω	B1	1803	ρ.	
	τσέπη	B1	1803	ουσ.	
	υλικά	B1	1802	επίρρ., επίθ., ουσ.
	βούληση	B1	1800	ουσ.	
	διασφαλίζω	B1	1798	ρ.	
	ελαιόλαδο	B1	1798	ουσ.	
	επίλυση	B1	1798	ουσ.	
	φιλικά	B1	1798	επίρρ., επίθ., ουσ.
	αξιοποίηση	B1	1797	ουσ.	
	αποθηκεύω	B1	1797	ρ.	
	αποτρέπω	B1	1797	ρ.	
	λιώνω	B1	1797	ρ.	
	ενήλικας	B1	1796	ουσ.	
	ποικίλος	B1	1793	επίθ.	
	σταδιακά	B1	1793	επίρρ., επίθ.
	επιδεικνύω	B1	1792	ρ.	
	κατοικώ	B1	1790	ρ.	
	πρωινό	B1	1788	ουσ., επίθ.
	εκτίθεμαι	B1	1785	ρ.	
	ανανέωση	B1	1783	ουσ.	
	ύμνος	B1	1782	ουσ.	
	θηλυκός	B1	1781	επίθ.	
	παρασκευή	B1	1781	ουσ.	
	σοσιαλιστικός	B1	1781	επίθ.	
	τυπώνω	B1	1779	ρ.	
	επιχειρηματίας	B1	1778	ουσ.	
	φανερώνω	B1	1777	ρ.	
	κατάκτηση	B1	1776	ουσ.	
	συγκροτώ	B1	1776	ρ.	
	υπενθυμίζω	B1	1776	ρ.	
	διαχωρισμός	B1	1774	ουσ.	
	συντάσσω	B1	1773	ρ.	
	πρωτόκολλο	B1	1767	ουσ.	
	καθίσταμαι	B1	1766	ρ.	
	ποτάμι	B1	1766	ουσ.	
	σφάλμα	B1	1766	ουσ.	
	δέσμευση	B1	1765	ουσ.	
	συντηρητικός	B1	1764	επίθ.	
	δυσκολεύω	B1	1763	ρ.	
	εξοπλίζω	B1	1763	ρ.	
	πληγή	B1	1762	ουσ.	
	βράζω	B1	1760	ρ.	
	διαιτητής	B1	1760	ουσ.	
	μηδέν	B1	1760	αριθ., αντων.
	ζήτηση	B1	1758	ουσ.	
	άθλημα	B1	1756	ουσ.	
	παράλογος	B1	1756	επίθ.	
	εμπλέκω	B1	1755	ρ.	
	φτερό	B1	1755	ουσ.	
	βυθίζω	B1	1754	ρ.	
	ραδιοφωνικός	B1	1754	επίθ.	
	εκπαιδεύω	B1	1752	ρ.	
	βολεύω	B1	1751	ρ.	
	κηρύσσω	B1	1751	ρ.	
	παγώνω	B1	1751	ρ.	
	πιστοποιητικό	B1	1751	ουσ., επίθ.
	συστηματικός	B1	1750	επίθ.	
	στράτευμα	B1	1749	ουσ.	
	αντιπολίτευση	B1	1747	ουσ.	
	τρέφω	B1	1746	ρ.	
τρέφω	τρέφω κάποιον			έκφρ.	
	αναθεώρηση	B1	1745	ουσ.	
	δώδεκα	B1	1745	απόλ., αριθ.
	ομαδικός	B1	1745	επίθ.	
ομαδικός	ομαδική εργασία			ονοματική φράση	
	ψωμί	B1	1745	ουσ.	
	τηλεφωνικός	B1	1744	επίθ.	
	διπλά	B1	1743	επίρρ., επίθ.
	βεβαιώνω	B1	1741	ρ.	
	πλάτος	B1	1741	ουσ.	
	ψύξη	B1	1741	ουσ.	
	ασθενώ	B1	1740	ρ.	
	επιβολή	B1	1740	ουσ.	
	κάθισμα	B1	1739	ουσ.	
	βόρεια	B1	1738	επίρρ., επίθ.
	προσκαλώ	B1	1738	ρ.	
	καταχώρηση	B1	1737	ουσ.	
	προσφεύγω	B1	1735	ρ.	
	ενδεχόμενο	B1	1735	ουσ., επίθ.
	αντιπαράθεση	B1	1733	ουσ.	
	προσανατολισμός	B1	1732	ουσ.	
	καλησπέρα	B1	1729	επιφ., ουσ.
	χάρτης	B1	1728	ουσ.	
	εισαγγελέας	B1	1727	ουσ.	
	παραχωρώ	B1	1727	ρ.	
	σκεπάζω	B1	1727	ρ.	
	αναπνοή	B1	1726	ουσ.	
	παραλλαγή	B1	1726	ουσ.	
	χώρα	B1	1725	ουσ.	
	μυρίζω	B1	1724	ρ.	
	υποδοχή	B1	1724	ουσ.	
	αυτόματα	B1	1722	επίρρ., επίθ., ουσ.
	καθημερινότητα	B1	1722	ουσ.	
	οικείος	B1	1722	επίθ.	
	ταξικός	B1	1721	επίθ.	
	χειριστής	B1	1721	ουσ.	
	αντιστέκομαι	B1	1720	ρ.	
	συμβουλεύω	B1	1720	ρ.	
	αναθέτω	B1	1719	ρ.	
	ανδρικός	B1	1717	επίθ.	
	μόλυνση	B1	1717	ουσ.	
	σπηλιά	B1	1717	ουσ.	
	αφαίρεση	B1	1715	ουσ.	
	μερίδα	B1	1715	ουσ.	
	κρυφός	B1	1714	επίθ.	
	αυγή	B1	1711	ουσ.	
	ενεργοποιώ	B1	1709	ρ.	
	ξανθός	B1	1709	επίθ.	
	μειωμένος	B1	1708	επίθ.	
	ντροπή	B1	1708	ουσ., επιφ.
	έμπορος	B1	1707	ουσ.	
	εκπληκτικός	B1	1705	επίθ.	
	θύρα	B1	1705	ουσ.	
	προχθεσινός	B1	1704	επίθ.	
	προσεγγίζω	B1	1704	ρ.	
	αγγείο	B1	1703	ουσ.	
	αρπάζω	B1	1703	ρ.	
	εμπόρευμα	B1	1703	ουσ.	
	ξεκαθαρίζω	B1	1703	ρ.	
	υποτίθεται	B1	1703	ρ.	
	κουνάω	B1	1702	ρ.	
	προοδευτικός	B1	1702	επίθ.	
	πειραματικός	B1	1701	επίθ.	
	ανάσα	B1	1700	ουσ.	
	θλίψη	B1	1699	ουσ.	
	ιστοχώρος	B1	1699	ουσ.	
	στοχεύω	B1	1697	ρ.	
	ύφασμα	B1	1696	ουσ.	
	παρόμοια	B1	1695	επίρρ.	
	επιγραφή	B1	1695	ουσ.	
	διαμονή	B1	1694	ουσ.	
	φούρνος	B1	1694	ουσ.	
	βίαιος	B1	1691	επίθ.	
	πρόσφυγας	B1	1688	ουσ.	
	εργοδότης	B1	1686	ουσ.	
	λίπος	B1	1685	ουσ.	
	σκύλος	B1	1685	ουσ.	
	συγγνώμη	B1	1685	ουσ.	
	γραμμένος	B1	1684	επίθ.	
	κοντινός	B1	1684	επίθ.	
	μακάρι	B1	1684	επιφ., μόρ.
	εκπροσωπώ	B1	1683	ρ.	
	τιμωρία	B1	1683	ουσ.	
	μετακινώ	B1	1682	ρ.	
	δεσμεύω	B1	1681	ρ.	
	σβήνω	B1	1680	ρ.	
	βλάπτω	B1	1680	ρ.	
	κυριολεκτικά	B1	1680	επίρρ., επίθ.
	αγκαλιάζω	B1	1677	ρ.	
	φλόγα	B1	1676	ουσ.	
	άνευ	B1	1675	πρόθ.	
	τεστ	B1	1674	ουσ.	
	ανέρχομαι	B1	1672	ρ.	
	δικαστής	B1	1671	ουσ.	
	βαρύτητα	B1	1669	ουσ.	
	διάδοση	B1	1666	ουσ.	
	προηγουμένως	B1	1666	επίρρ.	
	σάρκα	B1	1666	ουσ.	
	διόρθωση	B1	1665	ουσ.	
	προεκλογικός	B1	1665	επίθ.	
	τουρνουά	B1	1665	ουσ.	
	διαφημιστικός	B1	1662	επίθ.	
	βραδιά	B1	1660	ουσ.	
	όρθιος	B1	1660	επίθ.	
	χλμ.	B1	1660	συντμ./σύντμηση	
	λήγω	B1	1659	ρ.	
	πρόσληψη	B1	1658	ουσ.	
	γειτονικός	B1	1657	επίθ.	
γειτονικός	γειτονική χώρα			ονοματική φράση	
	νομαρχιακός	B1	1657	επίθ.	
	φετινός	B2	1657	επίθ.	
	εμφανής	B2	1656	επίθ.	
	αποκλεισμός	B2	1655	ουσ.	
	αξιολογώ	B2	1654	ρ.	
	σελήνη	B2	1654	ουσ.	
	αναπτυξιακός	B2	1652	επίθ.	
	προσδοκία	B2	1652	ουσ.	
	καταγγέλλω	B2	1651	ρ.	
	άνετα	B2	1650	επίρρ.	
	ελαστικός	B2	1650	επίθ.	
	λέσχη	B2	1649	ουσ.	
	μαγνητικός	B2	1649	επίθ.	
	θρόνος	B2	1648	ουσ.	
	καταφεύγω	B2	1648	ρ.	
	κοσμικός	B2	1648	επίθ.	
	τιμολόγιο	B2	1647	ουσ.	
	σωρός	B2	1647	ουσ.	
	ανανεώνω	B2	1645	ρ.	
	ομιλητής	B2	1644	ουσ.	
	ταπεινός	B2	1644	επίθ.	
	τριάντα	B2	1643	απόλ., αριθ.
	ευτυχισμένος	B2	1642	επίθ.	
	μολύνω	B2	1641	ρ.	
	προσεκτικός	B2	1640	επίθ.	
	γέρος	B2	1639	ουσ.	
	διαταγή	B2	1639	ουσ.	
	συμβατικός	B2	1639	επίθ.	
	θεμελιώδης	B2	1638	επίθ.	
	υποδεικνύω	B2	1638	ρ.	
	οικονομικά	B2	1637	επίρρ., επίθ., ουσ.
	νεύρο	B2	1635	ουσ.	
	σπρώχνω	B2	1635	ρ.	
	καταναλώνω	B2	1634	ρ.	
	μάθηση	B2	1633	ουσ.	
	μπαμπάς	B2	1633	ουσ.	
	αποκλειστικός	B2	1629	επίθ.	
	αφεντικό	B2	1629	ουσ.	
	επίτευξη	B2	1628	ουσ.	
	αδιάφορος	B2	1627	επίθ.	
	πείρα	B2	1627	ουσ.	
	ενιαία	B2	1623	επίρρ.	
	εξάρτηση	B2	1623	ουσ.	
	ισότητα	B2	1623	ουσ.	
	προτού	B2	1623	σύνδ.	
	αρνητικά	B2	1621	επίρρ., επίθ.
	εστιάζω	B2	1619	ρ.	
	στόλος	B2	1619	ουσ.	
	αιτώ	B2	1618	ρ.	
	κινηματογραφικός	B2	1618	επίθ.	
	πάγος	B2	1618	ουσ.	
	αξιοπρέπεια	B2	1617	ουσ.	
	διαβήτης	B2	1617	ουσ.	
	προσόν	B2	1617	ουσ.	
	ενδιάμεσος	B2	1616	επίθ.	
	συγχαρητήρια	B2	1614	ουσ., επίθ., επιφ., ουσ.
	μηχανική	B2	1613	ουσ., επίθ.
	αποσύρω	B2	1613	ρ.	
	ποδιά	B2	1613	ουσ.	
	εννέα, εννιά	B2	1612	απόλ.	
	μεταβάλλω	B2	1612	ρ.	
	παράπονο	B2	1611	ουσ.	
	φιλάω, φιλώ	B2	1611	ρ.	
	επιβιώνω	B2	1610	ρ.	
	μερικός	B2	1610	επίθ.	
μερικός	μερικές φορές			έκφρ.	
	ξεσπάω, ξεσπώ	B2	1609	ρ.	
	θησαυρός	B2	1608	ουσ.	
	πληγώνω	B2	1607	ρ.	
	σκηνοθεσία	B2	1607	ουσ.	
	γέροντας	B2	1606	ουσ., επίθ.
	σύννεφο	B2	1606	ουσ.	
	κατανοητός	B2	1604	επίθ.	
	κλίση	B2	1602	ουσ.	
	συνεπάγομαι	B2	1602	ρ.	
	διαρθρωτικός	B2	1601	επίθ.	
	αποτελεσματικότητα	B2	1601	ουσ.	
	κοιλιά	B2	1601	ουσ.	
	εκπέμπω	B2	1600	ρ.	
	Κυριακή	B2	1600	ουσ.	
	λύκος	B2	1600	ουσ.	
	υφυπουργός	B2	1600	ουσ.	
	ανεπάρκεια	B2	1599	ουσ.	
	πολύπλοκος	B2	1598	επίθ.	
	λεξικό	B2	1597	ουσ.	
	τραγουδιστής	B2	1597	κ.ό.
	παγκοσμιοποίηση	B2	1596	ουσ.	
	ανατροπή	B2	1594	ουσ.	
	ειλικρινά	B2	1594	επίρρ.	
	παπούτσι	B2	1594	ουσ.	
	βιταμίνη	B2	1593	ουσ.	
	καπνίζω	B2	1591	ρ.	
	πόλος	B2	1591	ουσ.	
	ανατρέπω	B2	1590	ρ.	
	ανταγωνιστικός	B2	1587	επίθ.	
	απόψε	B2	1585	επίρρ.	
	απογοητεύω	B2	1584	ρ.	
	αρμονία	B2	1584	ουσ.	
	θεμέλιο	B2	1584	ουσ.	
	νήσος	B2	1584	ουσ.	
	προφορικός	B2	1583	επίθ.	
	ύποπτος	B2	1583	επίθ., ουσ.
	προσεκτικά	B2	1580	επίρρ., επίθ.
	υπογραμμίζω	B2	1579	ρ.	
	κάπνισμα	B2	1577	ουσ.	
	κτήμα	B2	1576	ουσ.	
	οστό	B2	1576	ουσ.	
	ώρα	B2	1575	ουσ.	
	έμπειρος	B2	1573	επίθ.	
	σκάλα	B2	1573	ουσ.	
	χαρακτήρας	B2	1573	ουσ.	
	ανύπαρκτος	B2	1572	επίθ.	
	χιονίζει	B2	1572	ρ.	
	θέρμανση	B2	1571	ουσ.	
	έγκυρος	B2	1569	επίθ.	
	άσχημα	B2	1568	επίρρ., επίθ.
	πρωταγωνιστής	B2	1567	ουσ.	
	συνθέτω	B2	1567	ρ.	
	χαλαρός	B2	1567	επίθ.	
	ομόνοια	B2	1565	ουσ.	
	τρελαίνω	B2	1563	ρ.	
	ξαναλέω	B2	1562	ρ.	
	δικαιολογία	B2	1561	ουσ.	
	περίσταση	B2	1561	ουσ.	
	σταθερότητα	B2	1561	ουσ.	
	συμμετέχων	B2	1561	επίθ., μτχ., ουσ.
	ανοικτά	B2	1560	επίρρ., επίθ.
	ισχυρισμός	B2	1560	ουσ.	
	οριστικός	B2	1560	επίθ.	
	διαφωνία	B2	1559	ουσ.	
	επικράτεια	B2	1558	ουσ.	
	αξιόπιστος	B2	1557	επίθ.	
	γαλάζιος	B2	1557	επίθ.	
	μαγεία	B2	1556	ουσ.	
	προπαγάνδα	B2	1556	ουσ.	
	απάτη	B2	1555	ουσ.	
	αόριστος	B2	1554	επίθ., ουσ.
	ατελείωτος	B2	1554	επίθ.	
	διευθύνων	B2	1553	επίθ.	
	αθάνατος	B2	1553	επίθ., ουσ.
	απόθεμα	B2	1553	ουσ.	
	κλήση	B2	1553	ουσ.	
	αποθήκευση	B2	1552	ουσ.	
	συμβουλευτικός	B2	1552	επίθ.	
	εμφύλιος	B2	1550	επίθ.	
	μητρικός	B2	1550	επίθ.	
	κυβερνών	B2	1549	επίθ.	
	αντικατάσταση	B2	1549	ουσ.	
	ιερό	B2	1549	ουσ., επίθ.
	σκουπίδι	B2	1547	ουσ.	
	φακός	B2	1547	ουσ.	
φακός	φακοί επαφής			ονοματική φράση	
	υπάγω	B2	1546	ρ.	
	φορολογικός	B2	1546	επίθ.	
	ενοποίηση	B2	1545	ουσ.	
	προτίθεμαι	B2	1545	ρ.	
	καθορισμός	B2	1545	ουσ.	
	κυνηγός	B2	1544	ουσ.	
	έμπνευση	B2	1543	ουσ.	
	ανάδοχος	B2	1542	επίθ., ουσ.
	οξυγόνο	B2	1542	ουσ.	
	σφαγή	B2	1542	ουσ.	
	προθεσμία	B2	1540	ουσ.	
	διάμετρος	B2	1539	ουσ.	
	όμοιος	B2	1539	επίθ.	
	άγνοια	B2	1537	ουσ.	
	εμπειρογνώμονας	B2	1536	ουσ.	
	αρρώστια	B2	1535	ουσ.	
	παράβαση	B2	1534	ουσ.	
	περιβάλλω	B2	1534	ρ.	
	απαιτούμενος	B2	1533	επίθ., μτχ.
	νυκτερινός	B2	1532	επίθ., ουσ.
	οργανωτικός	B2	1532	επίθ.	
	αστέρας	B2	1531	ουσ.	
	κομμουνιστικός	B2	1529	επίθ.	
κομμουνιστικός	κομμουνιστικό κόμμα			ονοματική φράση	
	ειλικρινής	B2	1527	επίθ.	
	επαρκής	B2	1527	επίθ.	
	οριζόντιος	B2	1527	επίθ.	
	κερί	B2	1526	ουσ.	
	φανατικός	B2	1526	επίθ.	
	ρήμα	B2	1524	ουσ.	
	δοκιμασία	B2	1523	ουσ.	
	ώστε	B2	1523	υποτ., σύνδ.
	εφορία	B2	1522	ουσ.	
	λογικό	B2	1522	ουσ., επίθ.
	ντομάτα	B2	1522	ουσ.	
	τελώ	B2	1522	ρ.	
	γνωστικός	B2	1521	επίθ.	
	διαδήλωση	B2	1521	ουσ.	
	ντρέπομαι	B2	1520	ρ.	
	απεικονίζω	B2	1519	ρ.	
	δημοσίευμα	B2	1519	ουσ.	
	στρέμμα	B2	1519	ουσ.	
	φίλαθλος	B2	1519	ουσ., επίθ.
	καταφύγιο	B2	1518	ουσ.	
	στερεός	B2	1515	επίθ.	
	τραγωδία	B2	1514	ουσ.	
	αναγέννηση	B2	1513	ουσ.	
	ιδιώτης	B2	1513	ουσ.	
	πρόνοια	B2	1513	ουσ.	
	συντονισμός	B2	1513	ουσ.	
	μοναξιά	B2	1512	ουσ.	
	μπαρ	B2	1512	ουσ.	
	αποζημιώνω	B2	1510	ρ.	
	φυτικός	B2	1510	επίθ.	
	καθρέφτης	B2	1509	ουσ.	
	τρίχα	B2	1509	ουσ., επίρρ.
	αποφυγή	B2	1508	ουσ.	
	λάμπα	B2	1507	ουσ.	
	μπαλκόνι	B2	1507	ουσ.	
	οδήγηση	B2	1507	ουσ.	
	εξαντλώ	B2	1505	ρ.	
	θεώρηση	B2	1505	ουσ.	
	κράτηση	B2	1505	ουσ.	
	μπλέκω	B2	1505	ρ.	
	απόλαυση	B2	1503	ουσ.	
	επενδύω	B2	1503	ρ.	
	επιφέρω	B2	1501	ρ.	
	απεικόνιση	B2	1500	ουσ.	
	καταντώ	B2	1498	ρ.	
	αγωνιστής	B2	1496	ουσ.	
	σωτήρας	B2	1496	ουσ.	
	αγνός	B2	1495	επίθ.	
	διαπίστωση	B2	1495	ουσ.	
	προσλαμβάνω	B2	1494	ρ.	
	εντυπωσιάζω	B2	1493	ρ.	
	ρολόι	B2	1493	ουσ.	
	κυβερνάω, κυβερνώ	B2	1491	ρ.	
	καλοκαιρινός	B2	1489	επίθ.	
	αυξανόμενος	B2	1488	επίθ.	
	ξοδεύω	B2	1488	ρ.	
	γονίδιο	B2	1487	ουσ.	
